,1,,19/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,03:17.38,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,12/12/2009,,Boro of Barnsley Xmas Meet                        ,,,,,Sheffield                                       ,,,3,,00:40.70,,,
,2,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,00:41.47,,,
,3,,12/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,00:42.18,,,
,4,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:44.42,,,
,5,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,00:44.85,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,8,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
William Beaumont                                  ,,,,,,11/07/1998,,Sheffield C,,,489628,,,,,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,6,,14/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,00:48.33,,,
,7,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:48.44,,,
,8,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:49.85,,,
,Male 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,19/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:25.62,,,
,2,,10/10/2009,,Yorkshire Winter Meet                             ,,,,,Sheffield                                       ,,,2,,01:26.67,,,
,3,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,01:28.57,,,
,4,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:33.83,,,
,5,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:34.55,,,
,6,,22/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:40.57,,,
,7,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:41.98,,,
,Male 200 Backstroke,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,03:13.79,,,
,Male 100 Individual Medley,,,,,,,,,,,,,,,,,
,1,,19/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:26.87,,,
,2,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,01:30.03,,,
,3,,11/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,01:33.42,,,
,4,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:34.09,,,
,5,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:42.52,,,
,6,,13/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,01:44.52,,,
,7,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:45.01,,,
,Male 200 Individual Medley,,,,,,,,,,,,,,,,,
,1,,18/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,03:04.64,,,
,2,,10/10/2009,,Yorkshire Winter Meet                             ,,,,,Sheffield                                       ,,,2,,03:04.68,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,9,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Thomas Bergmann                                   ,,,,,,31/03/2005,,Sheffield C,,,1180612,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:41.36,,,
,Male 200 Freestyle,,,,,,,,,,,,,,,,,
,1,,20/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,03:24.18,,,
,2,,19/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,03:37.03,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:53.55,,,
,2,,19/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,00:53.90,,,
,Male 200 Breaststroke,,,,,,,,,,,,,,,,,
,1,,20/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,04:05.46,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:49.07,,,
,2,,19/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,00:56.68,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,20/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,00:46.55,,,
,2,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:47.43,,,
,Male 200 Backstroke,,,,,,,,,,,,,,,,,
,1,,19/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,03:52.18,,,
,Male 100 Individual Medley,,,,,,,,,,,,,,,,,
,1,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,01:41.78,,,
,2,,19/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,01:44.48,,,
,Male 200 Individual Medley,,,,,,,,,,,,,,,,,
,1,,20/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,03:41.81,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,10,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Zachary Black                                     ,,,,,,02/04/2004,,Sheffield C,,,1157616,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,21/09/2013,,Rotherham Metro SC A & B Grade SC Meet  ,,,,,Sheffield                                       ,,,3,,00:42.63,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,01:28.01,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,21/09/2013,,Rotherham Metro SC A & B Grade SC Meet  ,,,,,Sheffield                                       ,,,3,,00:55.78,,,
,Male 100 Butterfly,,,,,,,,,,,,,,,,,
,1,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,01:50.50,,,
,Male 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,01:37.17,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,11,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Aaron Blake                                       ,,,,,,05/02/1998,,Sheffield C,,,507592,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,20/07/2014,,Rotherham Metro A&B Grade Short Course,,,,,Sheffield                                       ,,,3,,00:27.36,,,
,2,,21/07/2013,,Rotherham Metro A & B Grade Gala              ,,,,,Sheffield                                       ,,,3,,00:28.18,,,
,3,,21/04/2013,,Stocksbridge Pentaqua SC Spring Sprints     ,,,,,Stocksbridge                                ,,,3,,00:28.37,,,
,4,,21/09/2013,,Rotherham Metro SC A & B Grade SC Meet  ,,,,,Sheffield                                       ,,,3,,00:28.41,,,
,5,,08/12/2012,,Boro of Barnsley 17 Annual Christmas Meet  ,,,,,Barnsley                                       ,,,3,,00:28.65,,,
,6,,15/07/2012,,Rotherham Metro ASC L3 Short Course Meet,,,,,Sheffield                                       ,,,3,,00:28.71,,,
